ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor
510300.SH,20120528,2.574,2.013417521704815,2.057616416732439,2.0078926598263616,2.0552486187845305,0.03,1.1655,12775187.69,3285755.32,1.0
510300.SH,20120529,2.604,2.0536700868192583,2.100236779794791,2.0536700868192583,2.0868192580899767,0.04,1.5361,7149490.08,1875593.354,1.0
510300.SH,20120530,2.644,2.085240726124704,2.089187056037885,2.078137332280979,2.0805051302288873,-0.008,-0.3026,2658871.98,701725.789,1.0
510300.SH,20120531,2.636,2.068666140489345,2.0876085240726128,2.062352012628256,2.0757695343330704,-0.006,-0.2276,1781559.84,468193.104,1.0
510300.SH,20120601,2.63,2.0749802683504344,2.099447513812155,2.067876874506709,2.0757695343330704,0.0,0.0,1793500.35,473477.195,1.0
510300.SH,20120604,2.63,2.0528808208366223,2.0552486187845305,2.016574585635359,2.0189423835832674,-0.072,-2.7376,5460742.72,1413413.525,1.0
510300.SH,20120605,2.558,2.022099447513812,2.0299921073401737,2.0173638516179953,2.021310181531176,0.003,0.1173,1271674.95,326150.601,1.0
510300.SH,20120606,2.561,2.0228887134964486,2.031570639305446,2.0110497237569063,2.019731649565904,-0.002,-0.0781,1369227.26,350839.411,1.0
510300.SH,20120607,2.559,2.0347277032359905,2.0386740331491717,2.0015785319652726,2.0071033938437255,-0.016,-0.6252,3364240.17,860028.328,1.0
510300.SH,20120608,2.543,2.0189423835832674,2.02052091554854,1.9968429360694555,2.0,-0.009,-0.3539,2101822.14,534630.03,1.0
510300.SH,20120611,2.534,2.0071033938437255,2.0339384372533544,2.0015785319652726,2.0236779794790847,0.03,1.1839,2254555.91,576327.103,1.0
510300.SH,20120612,2.564,2.0126282557221784,2.022099447513812,2.0031570639305447,2.0110497237569063,-0.016,-0.624,1577237.25,401878.82,1.0
510300.SH,20120613,2.548,2.02052091554854,2.042620363062352,2.0126282557221784,2.040252565114444,0.037,1.4521,1881335.67,483872.804,1.0
510300.SH,20120614,2.585,2.036306235201263,2.0505130228887136,2.0292028413575376,2.031570639305446,-0.011,-0.4255,1525546.64,394044.038,1.0
510300.SH,20120615,2.574,2.037884767166535,2.047355958958169,2.0181531176006313,2.039463299131808,0.01,0.3885,1598352.67,411542.174,1.0
510300.SH,20120618,2.584,2.043409629044988,2.058405682715075,2.042620363062352,2.0457774269928968,0.008,0.3096,1321265.33,342959.058,1.0
510300.SH,20120619,2.592,2.044198895027624,2.044198895027624,2.0299921073401737,2.0307813733228097,-0.019,-0.733,1050116.86,270933.104,1.0
510300.SH,20120620,2.573,2.036306235201263,2.041831097079716,2.0284135753749015,2.0284135753749015,-0.003,-0.1166,1192773.67,307520.556,1.0
510300.SH,20120621,2.57,2.0228887134964486,2.0236779794790847,1.9865824782951855,1.9968429360694555,-0.04,-1.5564,1792241.7,453655.58,1.0
510300.SH,20120625,2.53,1.9944751381215473,1.9944751381215473,1.9542225730071034,1.9573796369376482,-0.05,-1.9763,2314811.08,579443.696,1.0
510300.SH,20120626,2.48,1.951065509076559,1.9613259668508287,1.9431728492501976,1.9573796369376482,0.0,0.0,1852289.01,458451.962,1.0
510300.SH,20120627,2.48,1.955801104972376,1.967640094711918,1.9494869771112868,1.950276243093923,-0.009,-0.3629,1513657.95,375457.752,1.0
510300.SH,20120628,2.471,1.9573796369376482,1.9621152328334652,1.9376479873717445,1.9392265193370166,-0.014,-0.5666,1695739.5,418670.239,1.0
510300.SH,20120629,2.457,1.9344909234412,1.9636937647987374,1.9321231254932913,1.9613259668508287,0.028,1.1396,1972042.11,486289.905,1.0
510300.SH,20120702,2.485,1.9692186266771905,1.9692186266771905,1.9542225730071034,1.9613259668508287,0.0,0.0,1862222.56,463059.443,1.0
510300.SH,20120703,2.485,1.9636937647987374,1.9857932123125495,1.9589581689029205,1.9644830307813734,0.004,0.161,1469031.0,367051.138,1.0
510300.SH,20120704,2.489,1.9684293606945544,1.9763220205209158,1.9605367008681926,1.9644830307813734,0.0,0.0,1103364.05,275036.931,1.0
510300.SH,20120705,2.489,1.956590370955012,1.956590370955012,1.935280189423836,1.942383583267561,-0.028,-1.1249,2087739.11,513592.301,1.0
510300.SH,20120706,2.461,1.946329913180742,1.982636148382005,1.935280189423836,1.9739542225730071,0.04,1.6254,1757978.3,436554.831,1.0
510300.SH,20120709,2.501,1.9644830307813734,1.972375690607735,1.9321231254932913,1.9344909234412,-0.05,-1.9992,1648643.31,408098.778,1.0
510300.SH,20120710,2.451,1.9329123914759274,1.936069455406472,1.92423046566693,1.9265982636148382,-0.01,-0.408,2041959.65,499158.637,1.0
510300.SH,20120711,2.441,1.92423046566693,1.9400157853196531,1.9218626677190216,1.935280189423836,0.011,0.4506,1692976.47,414092.857,1.0
510300.SH,20120712,2.452,1.9305445935280192,1.9629044988161013,1.9234411996842937,1.9526440410418313,0.022,0.8972,2660444.4,655043.267,1.0
510300.SH,20120713,2.474,1.951854775059195,1.9700078926598266,1.950276243093923,1.955801104972376,0.004,0.1617,1778904.49,441479.099,1.0
510300.SH,20120716,2.478,1.9581689029202842,1.9589581689029205,1.9234411996842937,1.92423046566693,-0.04,-1.6142,2273611.07,556372.742,1.0
510300.SH,20120717,2.438,1.9234411996842937,1.9329123914759274,1.9187056037884769,1.9281767955801108,0.005,0.2051,2585328.38,630134.24,1.0
510300.SH,20120718,2.443,1.9265982636148382,1.9344909234412,1.8989739542225732,1.9281767955801108,0.0,0.0,3152959.3,766719.579,1.0
510300.SH,20120719,2.443,1.9265982636148382,1.951854775059195,1.9234411996842937,1.9344909234412,0.008,0.3275,3380439.84,830268.783,1.0
510300.SH,20120720,2.451,1.929755327545383,1.9344909234412,1.9155485398579324,1.920284135753749,-0.018,-0.7344,2702978.0,659710.351,1.0
510300.SH,20120723,2.433,1.902920284135754,1.902920284135754,1.887924230465667,1.8966061562746648,-0.03,-1.233,1856885.42,445845.218,1.0
510300.SH,20120724,2.403,1.8918705603788477,1.9123914759273877,1.8902920284135756,1.9005524861878453,0.005,0.2081,2304236.65,554385.067,1.0
510300.SH,20120725,2.408,1.8942383583267561,1.9052880820836624,1.8863456985003948,1.888713496448303,-0.015,-0.6229,1389067.24,333627.584,1.0
510300.SH,20120726,2.393,1.8902920284135756,1.8997632202052093,1.8784530386740332,1.8800315706393056,-0.011,-0.4597,2548959.99,610152.261,1.0
510300.SH,20120727,2.382,1.8855564325177585,1.8910812943962116,1.8760852407261246,1.8823993685872138,0.003,0.1259,3724685.36,888581.778,1.0
510300.SH,20120730,2.385,1.8855564325177585,1.89344909234412,1.872138910812944,1.8760852407261246,-0.008,-0.3354,2303206.19,549167.623,1.0
510300.SH,20120731,2.377,1.876874506708761,1.8823993685872138,1.8674033149171274,1.871349644830308,-0.006,-0.2524,4214983.84,1001090.738,1.0
510300.SH,20120801,2.371,1.872138910812944,1.8950276243093922,1.872138910812944,1.8855564325177585,0.018,0.7592,2615555.91,624664.26,1.0
510300.SH,20120802,2.389,1.8831886345698503,1.8855564325177585,1.8618784530386743,1.871349644830308,-0.018,-0.7535,2087258.21,495894.114,1.0
510300.SH,20120803,2.371,1.8745067087608525,1.8831886345698503,1.8689818468823993,1.8823993685872138,0.014,0.5905,1737366.37,412710.948,1.0
510300.SH,20120806,2.385,1.8808208366219417,1.9100236779794793,1.8800315706393056,1.9068666140489345,0.031,1.2998,3144257.3,755432.645,1.0
510300.SH,20120807,2.416,1.9060773480662985,1.9108129439621153,1.90370955011839,1.9092344119968432,0.003,0.1242,2584403.72,624693.716,1.0
510300.SH,20120808,2.419,1.9123914759273877,1.9226519337016577,1.9068666140489345,1.9108129439621153,0.002,0.0827,2329502.12,564756.029,1.0
510300.SH,20120809,2.421,1.9116022099447516,1.9321231254932913,1.90370955011839,1.929755327545383,0.024,0.9913,2010003.66,488752.02,1.0
510300.SH,20120810,2.445,1.9313338595106553,1.9313338595106553,1.920284135753749,1.92423046566693,-0.007,-0.2863,1118701.03,273056.082,1.0
510300.SH,20120813,2.438,1.9187056037884769,1.9187056037884769,1.8855564325177585,1.887924230465667,-0.046,-1.8868,2959366.36,713474.274,1.0
510300.SH,20120814,2.392,1.888713496448303,1.8910812943962116,1.8626677190213101,1.8847671665351224,-0.004,-0.1672,3226022.37,767577.944,1.0
510300.SH,20120815,2.388,1.8808208366219417,1.8808208366219417,1.8658247829518548,1.8674033149171274,-0.022,-0.9213,1910109.78,453117.708,1.0
510300.SH,20120816,2.366,1.8681925808997633,1.870560378847672,1.8602999210734021,1.8618784530386743,-0.007,-0.2959,1228662.66,290402.422,1.0
510300.SH,20120817,2.359,1.8618784530386743,1.8626677190213101,1.8429360694554067,1.853985793212313,-0.01,-0.4239,1757265.29,412189.237,1.0
510300.SH,20120820,2.349,1.8413575374901345,1.8492501973164959,1.7695343330702449,1.8437253354380427,-0.013,-0.5534,1705061.51,396240.929,1.0
510300.SH,20120821,2.336,1.8437253354380427,1.8681925808997633,1.8413575374901345,1.8508287292817682,0.009,0.3853,2348894.17,552081.888,1.0
510300.SH,20120822,2.345,1.8524072612470404,1.853985793212313,1.8334648776637728,1.8374112075769535,-0.017,-0.7249,1298019.74,302900.817,1.0
510300.SH,20120823,2.328,1.8413575374901345,1.8531965272296764,1.8326756116811367,1.8460931333859512,0.011,0.4725,1670546.37,390070.494,1.0
510300.SH,20120824,2.339,1.8389897395422259,1.840568271507498,1.8255722178374114,1.8279400157853196,-0.023,-0.9833,1584418.84,367720.684,1.0
510300.SH,20120827,2.316,1.8192580899763222,1.8192580899763222,1.7892659826361486,1.7900552486187844,-0.048,-2.0725,3143233.26,716814.677,1.0
510300.SH,20120828,2.268,1.7876874506708764,1.8026835043409628,1.7837411207576954,1.7900552486187844,0.0,0.0,2176241.27,493740.043,1.0
510300.SH,20120829,2.268,1.7853196527229678,1.7947908445146015,1.775848460931334,1.7782162588792425,-0.015,-0.6614,2133281.59,482331.412,1.0
510300.SH,20120830,2.253,1.7726913970007894,1.7797947908445146,1.7569060773480665,1.770323599052881,-0.01,-0.4439,2326744.34,521648.616,1.0
510300.SH,20120831,2.243,1.7679558011049727,1.7766377269139702,1.7663772691397002,1.770323599052881,0.0,0.0,2031862.43,456087.329,1.0
510300.SH,20120903,2.243,1.7663772691397002,1.791633780584057,1.7624309392265196,1.7813733228097872,0.014,0.6242,2388425.76,538901.338,1.0
510300.SH,20120904,2.257,1.7845303867403317,1.7892659826361486,1.7616416732438835,1.7624309392265196,-0.024,-1.0634,2247647.16,506401.971,1.0
510300.SH,20120905,2.233,1.7624309392265196,1.7687450670876088,1.7545382794001578,1.7616416732438835,-0.001,-0.0448,2181559.84,486821.063,1.0
510300.SH,20120906,2.232,1.7640094711917917,1.7790055248618786,1.7616416732438835,1.7790055248618786,0.022,0.9857,1696507.67,380480.259,1.0
510300.SH,20120907,2.254,1.7892659826361486,1.8823993685872138,1.7892659826361486,1.8602999210734021,0.103,4.5697,5589337.27,1308147.825,1.0
510300.SH,20120910,2.357,1.8626677190213101,1.870560378847672,1.8571428571428574,1.8666140489344913,0.008,0.3394,2390915.08,564596.26,1.0
510300.SH,20120911,2.365,1.853985793212313,1.854775059194949,1.839779005524862,1.8524072612470404,-0.018,-0.7611,2863742.77,670007.779,1.0
510300.SH,20120912,2.347,1.8666140489344913,1.876874506708761,1.8421468034727706,1.8618784530386743,0.012,0.5113,2773826.82,652823.793,1.0
510300.SH,20120913,2.359,1.8563535911602211,1.8650355169692188,1.8429360694554067,1.8437253354380427,-0.023,-0.975,2056526.99,483482.352,1.0
510300.SH,20120914,2.336,1.8579321231254935,1.870560378847672,1.8429360694554067,1.8563535911602211,0.016,0.6849,3237676.43,762010.302,1.0
510300.SH,20120917,2.352,1.8516179952644043,1.8531965272296764,1.8113654301499607,1.812943962115233,-0.055,-2.3384,2706171.63,628467.027,1.0
